,location,count
0,canada,32
1,california,24
2,ukraine,24
3,london,17
4,nashik,17
5,houston,13
6,texas,13
7,america,13
8,atlanta,12
9,china,12
10,nigeria,10
11,doha,9
12,florida,9
13,israel,8
14,michigan,8
15,russia,7
16,beijing,7
17,nairobi,7
18,delhi,7
19,washington,6
20,arizona,6
21,kampala,6
22,philadelphia,6
23,ibadan,5
24,india,5
25,masaka,5
26,miami,5
27,australia,5
28,mumbai,4
29,oklahoma,4
30,louisiana,4
31,georgia,4
32,abuja,4
33,idaho,4
34,boston,4
35,johannesburg,3
36,pennsylvania,3
37,maryland,3
38,dubai,3
39,istanbul,3
40,virginia,3
41,colorado,3
42,ottawa,3
43,u.s.,3
44,oregon,3
45,bahrain,2
46,ecuador,2
47,dallas,2
48,maharashtra,2
49,berlin,2
50,riyadh,2
51,germany,2
52,bengaluru,2
53,indianapolis,2
54,tokyo,2
55,alaska,2
56,kansas city,2
57,pittsburgh,2
58,nicosia,1
59,bloemfontein,1
60,tennessee,1
61,brooklyn,1
62,costa rica,1
63,massachusetts,1
64,middelburg,1
65,kharkiv,1
66,bayelsa,1
67,toronto,1
68,huntsville,1
69,nevada,1
70,wenatchee,1
71,armenia,1
72,panjab,1
73,ludhiana,1
74,taguig city,1
75,chennai,1
76,vienna,1
77,oslo,1
78,jakarta,1
79,singapore,1
80,mexico,1
81,omaha,1
82,zurich,1
83,seoul,1
84,tallahassee,1
85,edinburgh,1
86,bangkok,1
87,kenya,1
88,izmir,1
89,moscow,1
90,allentown,1
91,illinois,1
92,missouri,1
93,indiana,1
94,osaka,1
95,hillingdon,1
96,nevadaso,1
97,wyoming,1
98,canberra,1
99,owensboro,1
100,jerusalem,1
101,mississippi,1
102,egypt,1
103,kokomo,1
104,azerbaijan,1
105,tulsa,1
106,asheville,1
107,sharjah,1
108,cincinnati,1
109,aurangabad,1
110,punjab pakistan,1
111,topeka,1
112,zimbabwe,1
113,chicago,1
114,richmond,1
115,lahore,1
116,bloomington,1
117,nottinghamshire,1
118,france,1
119,harrisburg,1
120,mogadishu,1
121,allahabad,1
122,kyiv,1
123,jalpaiguri,1
124,hollywood,1
125,orlando,1
126,bulgaria,1
127,westchester,1
128,wilmington,1
129,birmingham,1
130,radhapuram taluk,1
131,nyc,1
132,guwahati,1
133,munich,1
134,cagayan de oro city,1
135,ohio,1
136,minneapolis,1
137,taiwan,1
138,nj,1
139,hawaii,1
140,hyderabad,1
