post_id,user_id,created_at,text,retweet_count,favorite_count,reply_count,quote_count,hashtags,location,place
1847185858270843371,865093653177409536,Fri Oct 18 08:00:02 +0000 2024,"im so exhausted. i feel like im repeating the same day over and over, the same routine, same feelings, same meaningless drama. im so sick of it, i just want to feel alive and be happy but im constantly drained and everything feels so pointless. i just feel dead.",2689,5268,38,109,,Ph ,
1850054758192775411,865093653177409536,Sat Oct 26 06:00:01 +0000 2024,"i'm not even upset, hurt,or angry anymore. i'm just tired. i'm tired of putting in more effort than i receive. i'm tired of holding on for nothing. i'm tired of getting my hopes up only to be let down time and time again.",3003,7613,32,122,,Ph ,
1843662369005940763,1684539069416755201,Tue Oct 08 14:38:57 +0000 2024,"everything is too much lately and it's draining me. academic works, self-doubts, personal problems, random breakdowns and insecurities. i am physically, emotionally and mentally tired",4432,7414,27,200,,,
1850133995264061566,1732732999903358976,Sat Oct 26 11:14:52 +0000 2024,im just tired of everything it feels so pointless,828,1652,2,5,,i ♡ my favorite ,
1870710862954004698,865093653177409536,Sun Dec 22 06:00:00 +0000 2024,"im so exhausted. i feel like im repeating the same day over and over, the same routine, same feelings, same meaningless drama. im so sick of it, i just want to feel alive and be happy but im constantly drained and everything feels so pointless. i just feel dead.",1869,4162,33,61,,Ph ,
1894787006917407003,1390586388647583747,Wed Feb 26 16:30:00 +0000 2025, single takenmentally tired of everything,2981,6076,50,69,,📖,
1895572349627560334,1390169703008534530,Fri Feb 28 20:30:40 +0000 2025,i need to be held im so tired of everything,11,87,4,1,,she/her,
1897690079810011213,2553184741,Thu Mar 06 16:45:47 +0000 2025,i'm tired of everything,0,0,0,0,,"Houston, TX",
1897687691946299723,1845129254620495886,Thu Mar 06 16:36:17 +0000 2025,my silence means i'm tired of everything,0,1,0,0,,,
1895835429930484057,1409913767434014726,Sat Mar 01 13:56:04 +0000 2025,tired of everything,1,7,0,0,,"Pardubický, Česká republika",
1851727181820383725,833317803620851716,Wed Oct 30 20:45:38 +0000 2024,"i'm not even upset, hurt,or angry anymore. i'm just tired. i'm tired of putting in more effort than i receive. i'm tired of holding on for nothing. i'm tired of getting my hopes up only to be let down time and time again.",505,1015,184,13,,Philippines 🇵🇭 ,
1897688410221167099,1501826761344303105,Thu Mar 06 16:39:08 +0000 2025,sometimes i feel tired of everything ,0,0,1,0,,,
1897694630608589010,1825870012445339648,Thu Mar 06 17:03:52 +0000 2025,im actually going to try and kill myself to im so tired of everything,0,0,0,0,,,
1897635190459056554,1836389969092325376,Thu Mar 06 13:07:40 +0000 2025,im so drained im so tired of everything,0,0,0,0,,ednos,
1897631886111097092,1658854554262286337,Thu Mar 06 12:54:32 +0000 2025,im so tired of everything man.,0,7,2,0,,Parking lot,
1896240407819768248,833317803620851716,Sun Mar 02 16:45:18 +0000 2025, single takenmentally tired of everything,265,377,7,7,,Philippines 🇵🇭 ,
1897143397997314330,1751187588638281728,Wed Mar 05 04:33:27 +0000 2025,i'm honestly so tired of being the person who fixes everything. for once i wish someone would fight for me but instead they rather let the boat sink.,35,224,197,0,,"Tokyo-to, Japan",
1896796099727479290,1588553426052550657,Tue Mar 04 05:33:25 +0000 2025, this video does a great job of chronicling everything that has led to putins' invasion of ukraine. it should be viewed by everyone who wants the truth for a change and is tired of the 24/7 propaganda we get from these warpigs.  ,164,455,24,16,,,
1897698365816857022,1663948575720738816,Thu Mar 06 17:18:42 +0000 2025,"i'm tired of everything, i'm scared, anxious, it feels pathetic",0,0,0,0,,,
1897703925861454204,1261816471870681088,Thu Mar 06 17:40:48 +0000 2025,im so tired of everything,0,0,0,0,,"Bournemouth, England",
1894519698500587891,737151161505959937,Tue Feb 25 22:47:49 +0000 2025,"on my silent days, im tired of everything",15,245,220,1,,,
1897668678306365675,1800913519690350592,Thu Mar 06 15:20:44 +0000 2025,physically and mentally tired of everything and everyone.,0,0,0,0,,,
1896581119480627603,1460234602807578624,Mon Mar 03 15:19:10 +0000 2025,tired of everything,0,5,3,0,,"Bali, Indonesia",
1896033882606354748,1751187588638281728,Sun Mar 02 03:04:38 +0000 2025,i'm honestly so tired of being the person who fixes everything. for once i wish someone would fight for me but instead they rather let the boat sink.,16,236,197,1,,"Tokyo-to, Japan",
1896812339388969205,1651755459265835008,Tue Mar 04 06:37:57 +0000 2025,"on my silent days, im tired of everything",0,213,223,0,,,
1897661825744859426,1315561490859130880,Thu Mar 06 14:53:30 +0000 2025,im tired of everything,0,1,0,0,,"Jyväskylä, Suomi",
1895019891381387665,1884688387807793152,Thu Feb 27 07:55:24 +0000 2025,i'm tired of everything,0,3,2,0,,ᛣᛉ,
1897701691279180162,1615581698993029123,Thu Mar 06 17:31:55 +0000 2025,im tired of everything these days,0,0,0,0,,Night rose’s bed ,
1896995300402979031,1629865552536641537,Tue Mar 04 18:44:58 +0000 2025,feeling tired of everything.,0,6,1,0,,Paris,
1897693298510168334,1422298033224626177,Thu Mar 06 16:58:34 +0000 2025,tired of everything and everyone,0,5,0,0,,,
