contextTitle,tweetId
"Here are all the celebrities who met with Trump after the election, Business Insider - Business Insider Singapore",8
Hope for Siblings - Hope 4 Siblings,30
drifterup Medical News,10
 Hospitals Destroyed And Millions Starving: The Crisis In Yemen Is Worsening | Christian News on Christian Today,27
This item is unavailable,23
" 
            Right Relevance : Influencers, Articles and Conversations
        ",39
drifterup Medical News,52
Earn money on short links. Make short links and earn the biggest money - shorte.st,18
Egypt Terror Attack at Cairo's Coptic Cathedral Kills 24; Funeral Procession Held Monday,38
,78
Avocado Toast Recipes We Can't Get Enough Of | Greatist,114
Etsy :: Your place to buy and sell all things handmade,106
Writing Night Scenes with Rayne Hall | Romance University,12
Facials Can Be Fatal (A Bad Hair Day Mystery): Nancy J. Cohen: 9781432832827: Amazon.com: Books,20
Merry Christmas And Happy New Year!,99
Jr Hunchoo - Destined For Greatness  Mixtape - Stream & Download,68
,133
China offers Philippines weapons for drug war - Business Insider,142
Fenil and Bollywood: Hollywood sequels score over Bollywood sequels in 2016,119
Walnut Village Award-winning Continuing Care Community,120
The Best Comfort Food Restaurants In NYC According To Wellness Leaders - mindbodygreen,115
,146
All On Me - Single by B3nchMarQ on Apple Music,138
"Land of the Hoosier Dawn (Events From The Hoosier Dawn Book 1) - Kindle edition by Nick Younker. Mystery, Thriller & Suspense Kindle eBooks @ Amazon.com.",105
Earn money on short links. Make short links and earn the biggest money - shorte.st,135
"Quotemeal for Tuesday, November 22, 2016",109
Aleppo battle: Raids on Syria city 'probably war crime' UN says - BBC News,113
Golden State Warriors Coach Steve Kerr Says He Smoked Marijuana to Overcome Chronic Back Pain; Suggests It May Be Better Option Than Painkillers | BCNN1 - Black Christian News Network,47
3 double-intensity training sessions - Runner's World,174
"
	Depression drug can alleviate joint pain in postmenopausal women treated for breast cancer
",144
"
	arzillion
",152
22-Y-O Suicide Bomber Who Killed 24 at Cairo's Coptic Church Linked to Terror Group,177
Amazon.com: Hope's Peak (Harper and Lane) eBook: Tony Healey: Kindle Store,125
"TACO TUESDAY - 10 Recipes That You have Try Now | Portobello, Nice and Easy",129
The Walking Dead – No Man's Land,159
Return of the killer screwworm leads to first deer death in a month | Miami Herald,187
Nice Way To Start The Year! Ondo Workers Hold Prayer Session As They Resume (See Photos),157
DC DollAR - Veracious Ep (12-14-16)/clean Version Hosted by n/a Mixtape - Stream & Download,153
Suicide becomes Movember topic as more middle-aged men die in 'disturbing trend' - Calgary - CBC News,166
drifterup Medical News,178
Earn money on short links. Make short links and earn the biggest money - shorte.st,165
Homeless West Palm Beach man is multimillionaire oil heir  | Miami Herald,219
drifterup Medical News,181
12 Telltale Signs You’re Dating A Total Basic Bro | Thought Catalog,202
drifterup Medical News,226
"""Wow sweetie I love you😍"" : memes",180
"The Devil, the Witch and the Whore (The Deal Book 1) eBook: Amy Cross: Amazon.co.uk: Kindle Store",171
,252
The Bond Appetit Podcast with Ronsley Seriojo Vaz : 161. Simpatico conference speaker Vicki Webster talks to us about the dark side of leadership,234
Battling Depression After Loss: How You Can Grieve Without Becoming Depressed | Christian News on Christian Today,218
,225
MRI Scans Detect 'Brain Rust' in Patients with Schizophrenia,223
Naomi Judd Reveals She Suffered from Suicidal Depression — and Is Still Healing,268
The Amulet: A Greek holiday story with a happily ever after ending - Kindle edition by Effrosyni Moschoudi. Paranormal Romance Kindle eBooks @ Amazon.com.,172
,296
,298
Alan Gross hopes Castro’s death lifts anger and fear about Cuba | Miami Herald,307
"Garfield ""PAWS"" Plush by Play by Play Look Nice   | eBay",269
Vintage Alligator Crocodile Brown Handbag Made in England,253
,301
GIVE IT TO ME ONE TIME! : BlackPeopleTwitter,285
"
	arzillion
",327
Ten Natural Cancer Treatments Proven To Fight Cancer | WorldTruth.Tv,243
"
	Bone density could be one of early indicators of brain degeneration in Alzheimer's disease
",297
,323
Homemade Granola: Recipes That Are Actually Healthy | Greatist,339
The Computer Heist (The Travelers Book 2) - Kindle edition by Michael P. King. Literature & Fiction Kindle eBooks @ Amazon.com.,278
Clean Eating Ground Turkey Recipes | Greatist,348
Too real : funny,315
"Anti-Dark-Heart: Top Selling T-Shirts, Posters, Greeting Cards, Stickers, Wall Art and More | Redbubble",259
Earn money on short links. Make short links and earn the biggest money - shorte.st,293
Secrets Buried in the Lemon Grove - YouTube,373
Earn money on short links. Make short links and earn the biggest money - shorte.st,300
,390
Staged Social Media Management Platform,382
Earn money on short links. Make short links and earn the biggest money - shorte.st,372
180. Sextrafficking: How to Empower with Education to Make a Lasting Change with Nicky Mih,394
drifterup Medical News,392
,403
drifterup Medical News,399
The Bond Appetit Podcast with Ronsley Seriojo Vaz : 100. Get the Bayley Body. Eat a plant based diet with Fraser Bayley,400
"
                U.N. chief Ban may be unwitting loser in South Korea presidential scandal | Reuters",398
What Do Churches Do When Christmas Day Falls On A Sunday? | Christian News on Christian Today,396
Ibuprofen could reduce smokers' risk of death from lung cancer,336
 Work Stress is Killing You: 3 Warning Signs to Stop Stress in it’s Tracks - Open Forest ,216
Woman Stabbed To Death In Attack On Home For Retired Missionaries | Christian News on Christian Today,433
"CPTime, BP, DC, PWO (Prod by Jimbooniebeatz) - CPTime Power Hosted by CPTime, Jimbooniebeatz Mixtape - Stream & Download",401
BTS Wins Best Album of 2016 in PopCrush Fan Choice Awards,450
"Amazon.com: MY WAY TOO: Book Marketing And A Little Bit More! eBook: David P Perlmutter, Julie Tucker: Kindle Store",431
The Difference Between Acne and the Health Condition Called Heat Rash | Men's Health,440
Most Expensive Homes In The World | Luufy,437
NP - Breaking News,360
How To Prepare Your Body & Mind For Winter According To Traditional Chinese Medicine - mindbodygreen,452
,464
New Evacuation Effort Starts in Syria’s Aleppo | BCNN1 - Black Christian News Network,330
British White Supremacist and Far-Right Terrorist Found Guilty of Murdering U.K. Lawmaker | BCNN1 - Black Christian News Network,342
Pull Out Between Wall and Refrigerator.: 3 Steps (with Pictures),489
"At Least 30 Dead In Suicide Attack On Afghanistan Mosque, Claimed By ISIS | Christian News on Christian Today",474
"Berlin Christmas Market: 12 Dead, 48 Injured After Truck Plows Into Crowd in Terror Attack",495
Christmas list... And checking it once! : BlackPeopleTwitter,469
3 Beliefs to Attain a Victorious Life in Christ | Christian News on Christian Today,478
drifterup Medical News,496
Flex Glove: 3 Steps (with Pictures),504
"Amazon.com: Castle Art Supplies Graphite Drawing Pencils and Sketch Set (40-Piece Kit), Complete Artist Kit Includes Charcoals, Pastels and Zippered Carry Case, Includes Rare Pop-Up Stand",457
"Why Betsy DeVos, School Choice Represent the Future of Education",501
A Chance at Love: A Christian Romance Novel - Kindle edition by T.K. Chapin. Religion & Spirituality Kindle eBooks @ Amazon.com.,476
drifterup Medical News,511
"Lies to Die for (Max Larkin Detective Series Book 2) - Kindle edition by Todd M. Thiede. Mystery, Thriller & Suspense Kindle eBooks @ Amazon.com.",482
North Korea 'hacks South's military cyber command' - BBC News,498
,497
,522
"
                Uganda rejects Amnesty's accusation of extra-judicial killings | Reuters",530
Philippine President Duterte: 'I Paid My Debts to God' but May 'Go to Hell' for Killings,538
Vintage Squirrel Salt Shaker OCCUPIED JAPAN Nice U244 | eBay,527
,523
,505
Abundance for Life | Home,460
Do you see they dicks out? : BlackPeopleTwitter,541
Contact Support,553
"
                Ten policemen in Egypt charged with torturing man to death | Reuters",563
"
	S 1019 : arzillion
",551
classicsqueezegrey - Keith Everett,550
Should You Wear Underwear When You Work Out? - mindbodygreen,559
Earn money on short links. Make short links and earn the biggest money - shorte.st,557
BBC tests 4K iPlayer with 'Planet Earth II',540
Adrienne Bailon and Israel Houghton Open Up About Ending Their Abstinence After Marriage | BCNN1 - Black Christian News Network,493
5 Ways to Eliminate Back Fat,565
International 7500 (2008) : Heavy Duty Trucks,568
"	Suspect in fatal shooting of Tacoma officer shot and killed | 						OregonLive.com",587
Globe Gazette Cheer fund helps spread holiday cheer | Mason City & North Iowa | globegazette.com,607
Stories for Life - the perfect Christmas gift_Mrs H's favourite things,548
HSBC trialling app that automates your savings,596
"	Oregon teen wins $100K grand prize for amazing ingestible battery | 						OregonLive.com",622
Lenovo is bringing Chrome OS to its Yoga Book next year,409
,624
,637
Why Homeopathy Works for Healing,608
Alternative Healing - Alternatives to Doctors and Drugs!,629
How to Make Peppermint Bark : 8 Steps (with Pictures),659
Earn money on short links. Make short links and earn the biggest money - shorte.st,623
"
	Militants attack prison, gun battle rages
",604
"Harvard just released its early admissions decisions — here's how many students got in, Business Insider - Business Insider Singapore",672
How To Tell He’s Into You | Epphany.com,658
Amazon.com: Waking Wolfe (Scott Wolfe Series Book 1) eBook: S.L. Shelton: Kindle Store,613
BTS Wins Best K-Pop Act of 2016 in PopCrush Fan Choice Awards,654
Open Calls for Submissions | Rhonda Parrish,583
,650
14 Reasons The Girl Who Loves ‘Too Much’ Is Actually The Best One To Love | Thought Catalog,671
"Fort Dodge man accused of assault, animal abuse arrested in North Iowa | North Iowa Crime & Courts | globegazette.com",691
The Real Answer To Google\'s Most Searched-For Question | Christian News on Christian Today,670
Twitter / Account Suspended,685
Tulsa Police Shoot and Kill Man Who Allegedly Killed Wife and 3 Pets | BCNN1 - Black Christian News Network,647
Wake up Sheeple! : BlackPeopleTwitter,698
Iowa holds on to Heroes Game trophy with decisive win over Nebraska | North Iowa College Sports | globegazette.com,730
"
	Kaduna to flush-out corrupt Judges – Grand Khadi
",704
Home - Fearless Soul - Inspirational Music & Life Changing Thoughts,720
Earn money on short links. Make short links and earn the biggest money - shorte.st,732
"
	Top Stories : arzillion
",708
,739
lil dutty - The Come Up  Mixtape - Stream & Download,700
RIP Carrie Fisher Star Wars Princess Leia Men's Long Sleeve T-shirt New | eBay,733
Earn money on short links. Make short links and earn the biggest money - shorte.st,744
Snapchat photo with cash sends a 19-year-old woman to jail | Miami Herald,773
10 Reasons to Believe In Heaven | BCNN1 - Black Christian News Network,729
drifterup Medical News,768
Don't Let the Race-Baiters on the Right and the Left Divide Us,753
Color me beard. : BlackPeopleTwitter,747
drifterup Medical News,776
Get Sex - Chemistry Between Two people Not just Mad Science,769
Death toll at 73 in Iraq suicide car bomb claimed by Islamic State - Daily Press,807
drifterup Medical News,816
,815
Folding Quarter Knife: 6 Steps (with Pictures),836
Flower brooch pin felt flower brooch felt jewelry wedding,779
"Fort Dodge man accused of assault, animal abuse arrested in North Iowa | North Iowa Crime & Courts | globegazette.com",832
Rape victim fights her attacker over rights to ...,780
